wavelength_nm,ybar
391,0.0005028333
392,0.0006084991
393,0.0007344436
394,0.0008837389
395,0.001059646
396,0.001265532
397,0.001504753
398,0.001780493
399,0.002095572
400,0.002452194
401,0.002852216
402,0.003299115
403,0.003797466
404,0.004352768
405,0.004971717
406,0.005661014
407,0.006421615
408,0.007250312
409,0.008140173
410,0.00907986
411,0.01005608
412,0.01106456
413,0.01210522
414,0.01318014
415,0.01429377
416,0.01545004
417,0.01664093
418,0.01785302
419,0.01907018
420,0.02027369
421,0.02144805
422,0.02260041
423,0.02374789
424,0.02491247
425,0.02612106
426,0.02739923
427,0.02874993
428,0.03016909
429,0.03165145
430,0.03319038
431,0.03477912
432,0.03641495
433,0.03809569
434,0.03981843
435,0.0415794
436,0.04337098
437,0.0451718
438,0.0469542
439,0.04868718
440,0.05033657
441,0.05187611
442,0.05332218
443,0.05470603
444,0.05606335
445,0.05743393
446,0.05885107
447,0.06030809
448,0.06178644
449,0.0632657
450,0.06472352
451,0.06614749
452,0.06757256
453,0.06904928
454,0.0706328
455,0.07238339
456,0.0743596
457,0.07659383
458,0.07911436
459,0.08195345
460,0.08514816
461,0.08872657
462,0.09266008
463,0.09689723
464,0.1013746
465,0.1060145
466,0.1107377
467,0.1155111
468,0.1203122
469,0.1251161
470,0.1298957
471,0.1346299
472,0.1393309
473,0.1440235
474,0.1487372
475,0.1535066
476,0.1583644
477,0.1633199
478,0.1683761
479,0.1735365
480,0.1788048
481,0.1841819
482,0.1896559
483,0.1952101
484,0.2008259
485,0.2064828
486,0.2121826
487,0.2180279
488,0.2241586
489,0.2307302
490,0.237916
491,0.2458706
492,0.2546023
493,0.264076
494,0.274249
495,0.285068
496,0.2964837
497,0.308501
498,0.3211393
499,0.3344175
500,0.3483536
501,0.3629601
502,0.3782275
503,0.3941359
504,0.4106582
505,0.4277595
506,0.4453993
507,0.4635396
508,0.4821376
509,0.501143
510,0.5204972
511,0.5401387
512,0.5600208
513,0.5800972
514,0.6003172
515,0.6206256
516,0.6409398
517,0.6610772
518,0.6808134
519,0.6999044
520,0.718089
521,0.7351593
522,0.7511821
523,0.7663143
524,0.7807352
525,0.7946448
526,0.8082074
527,0.8213817
528,0.8340701
529,0.8461711
530,0.8575799
531,0.8682408
532,0.8783061
533,0.8879907
534,0.8975211
535,0.9071347
536,0.9169947
537,0.9269295
538,0.9366731
539,0.9459482
540,0.9544675
541,0.9619834
542,0.968439
543,0.9738289
544,0.9781519
545,0.9814106
546,0.9836669
547,0.9852081
548,0.9863813
549,0.9875357
550,0.9890228
551,0.9910811
552,0.9934913
553,0.9959172
554,0.9980205
555,0.9994608
556,0.999993
557,0.9997557
558,0.9989839
559,0.9979123
560,0.9967737
561,0.9957356
562,0.9947115
563,0.9935534
564,0.9921156
565,0.9902549
566,0.9878596
567,0.9849324
568,0.9815036
569,0.9776035
570,0.9732611
571,0.9684764
572,0.9631369
573,0.9571062
574,0.950254
575,0.9424569
576,0.9336897
577,0.9242893
578,0.9146707
579,0.9052333
580,0.8963613
581,0.8883069
582,0.8808462
583,0.8736445
584,0.8663755
585,0.8587203
586,0.8504295
587,0.8415047
588,0.8320109
589,0.8220154
590,0.8115868
591,0.8007874
592,0.7896515
593,0.7782053
594,0.7664733
595,0.7544785
596,0.7422473
597,0.7298229
598,0.7172525
599,0.7045818
600,0.6918553
601,0.6791009
602,0.6662846
603,0.6533595
604,0.6402807
605,0.6270066
606,0.6135148
607,0.5998494
608,0.5860682
609,0.5722261
610,0.5583746
611,0.5445535
612,0.5307673
613,0.517013
614,0.5032889
615,0.489595
616,0.4759442
617,0.4623958
618,0.4490154
619,0.4358622
620,0.4229897
621,0.4104152
622,0.3980356
623,0.38573
624,0.3733907
625,0.3609245
626,0.348286
627,0.3355702
628,0.3228963
629,0.3103704
630,0.2980865
631,0.286116
632,0.2744822
633,0.2631953
634,0.2522628
635,0.2416902
636,0.2314809
637,0.2216378
638,0.2121622
639,0.2030542
640,0.1943124
641,0.1859227
642,0.1778274
643,0.1699654
644,0.1622841
645,0.1547397
646,0.1473081
647,0.1400169
648,0.1329013
649,0.1259913
650,0.119312
651,0.112882
652,0.1067113
653,0.1008052
654,0.09516653
655,0.08979594
656,0.08469044
657,0.07984009
658,0.07523372
659,0.07086061
660,0.06671045
661,0.0627736
662,0.05904179
663,0.05550703
664,0.05216139
665,0.04899699
666,0.04600578
667,0.04317885
668,0.04050755
669,0.03798376
670,0.03559982
671,0.03334856
672,0.03122332
673,0.0292178
674,0.02732601
675,0.02554223
676,0.02386121
677,0.02227859
678,0.0207902
679,0.01939185
680,0.01807939
681,0.01684817
682,0.01569188
683,0.01460446
684,0.01358062
685,0.01261573
686,0.01170696
687,0.01085608
688,0.01006476
689,0.009333376
690,0.008661284
691,0.008046048
692,0.00748113
693,0.006959987
694,0.00647707
695,0.006027677
696,0.005608169
697,0.005216691
698,0.004851785
699,0.004512008
700,0.004195941
701,0.003902057
702,0.003628371
703,0.003373005
704,0.003134315
705,0.002910864
706,0.002701528
707,0.002505796
708,0.002323231
709,0.002153333
710,0.001995557
711,0.001849316
712,0.001713976
713,0.001588899
714,0.001473453
715,0.001367022
716,0.001268954
717,0.001178421
718,0.001094644
719,0.001016943
720,0.0009447269
721,0.0008775171
722,0.0008150438
723,0.0007570755
724,0.0007033755
725,0.000653705
726,0.0006078048
727,0.0005653435
728,0.0005260046
729,0.0004895061
730,0.000455597
731,0.0004240548
732,0.000394686
733,0.0003673178
734,0.0003417941
735,0.0003179738
736,0.0002957441
737,0.0002750558
738,0.000255864
739,0.0002381142
740,0.0002217445
741,0.0002066711
742,0.0001927474
743,0.0001798315
744,0.0001678023
745,0.0001565566
746,0.0001460168
747,0.0001361535
748,0.0001269451
749,0.0001183671
750,0.0001103928
751,0.0001029908
752,9.611836e-05
753,8.973323e-05
754,8.379694e-05
755,7.827442e-05
756,7.313312e-05
757,6.834142e-05
758,6.387035e-05
759,5.969389e-05
760,5.578862e-05
761,5.213509e-05
762,4.872179e-05
763,4.553845e-05
764,4.257443e-05
765,3.981884e-05
766,3.725877e-05
767,3.487467e-05
768,3.264765e-05
769,3.05614e-05
770,2.860175e-05
771,2.675841e-05
772,2.502943e-05
773,2.341373e-05
774,2.190914e-05
775,2.051259e-05
776,1.921902e-05
777,1.801796e-05
778,1.689899e-05
779,1.585309e-05
780,1.487243e-05
781,1.395085e-05
782,1.308528e-05
783,1.227327e-05
784,1.151233e-05
785,1.080001e-05
786,1.013364e-05
787,9.509919e-06
788,8.92563e-06
789,8.377852e-06
790,7.86392e-06
791,7.381539e-06
792,6.929096e-06
793,6.505136e-06
794,6.108221e-06
795,5.736935e-06
796,5.389831e-06
797,5.065269e-06
798,4.761667e-06
799,4.477561e-06
800,4.211597e-06
801,3.962457e-06
802,3.728674e-06
803,3.508881e-06
804,3.301868e-06
805,3.106561e-06
806,2.922119e-06
807,2.748208e-06
808,2.58456e-06
809,2.430867e-06
810,2.286786e-06
811,2.151905e-06
812,2.025656e-06
813,1.907464e-06
814,1.796794e-06
815,1.693147e-06
816,1.596032e-06
817,1.504903e-06
818,1.419245e-06
819,1.3386e-06
820,1.262556e-06
821,1.190771e-06
822,1.123031e-06
823,1.059151e-06
824,9.989507e-07
825,9.422514e-07
826,8.888804e-07
827,8.38669e-07
828,7.914539e-07
829,7.47077e-07
830,7.05386e-07
